1000 1000
1 2 100
2 3 200
3 4 300
4 5 400
5 6 500
6 7 600
7 8 700
8 9 800
9 10 900
10 11 1000
11 12 1100
12 13 1200
13 14 1300
14 15 1400
15 16 1500
16 17 1600
17 18 1700
18 19 1800
19 20 1900
20 21 2000
21 22 2100
22 23 2200
23 24 2300
24 25 2400
25 26 2500
26 27 2600
27 28 2700
28 29 2800
29 30 2900
30 31 3000
31 32 3100
32 33 3200
33 34 3300
34 35 3400
35 36 3500
36 37 3600
37 38 3700
38 39 3800
39 40 3900
40 41 4000
41 42 4100
42 43 4200
43 44 4300
44 45 4400
45 46 4500
46 47 4600
47 48 4700
48 49 4800
49 50 4900
50 51 5000
51 52 5100
52 53 5200
53 54 5300
54 55 5400
55 56 5500
56 57 5600
57 58 5700
58 59 5800
59 60 5900
60 61 6000
61 62 6100
62 63 6200
63 64 6300
64 65 6400
65 66 6500
66 67 6600
67 68 6700
68 69 6800
69 70 6900
70 71 7000
71 72 7100
72 73 7200
73 74 7300
74 75 7400
75 76 7500
76 77 7600
77 78 7700
78 79 7800
79 80 7900
80 81 8000
81 82 8100
82 83 8200
83 84 8300
84 85 8400
85 86 8500
86 87 8600
87 88 8700
88 89 8800
89 90 8900
90 91 9000
91 92 9100
92 93 9200
93 94 9300
94 95 9400
95 96 9500
96 97 9600
97 98 9700
98 99 9800
99 100 9900
100 101 10000
101 102 10100
102 103 10200
103 104 10300
104 105 10400
105 106 10500
106 107 10600
107 108 10700
108 109 10800
109 110 10900
110 111 11000
111 112 11100
112 113 11200
113 114 11300
114 115 11400
115 116 11500
116 117 11600
117 118 11700
118 119 11800
119 120 11900
120 121 12000
121 122 12100
122 123 12200
123 124 12300
124 125 12400
125 126 12500
126 127 12600
127 128 12700
128 129 12800
129 130 12900
130 131 13000
131 132 13100
132 133 13200
133 134 13300
134 135 13400
135 136 13500
136 137 13600
137 138 13700
138 139 13800
139 140 13900
140 141 14000
141 142 14100
142 143 14200
143 144 14300
144 145 14400
145 146 14500
146 147 14600
147 148 14700
148 149 14800
149 150 14900
150 151 15000
151 152 15100
152 153 15200
153 154 15300
154 155 15400
155 156 15500
156 157 15600
157 158 15700
158 159 15800
159 160 15900
160 161 16000
161 162 16100
162 163 16200
163 164 16300
164 165 16400
165 166 16500
166 167 16600
167 168 16700
168 169 16800
169 170 16900
170 171 17000
171 172 17100
172 173 17200
173 174 17300
174 175 17400
175 176 17500
176 177 17600
177 178 17700
178 179 17800
179 180 17900
180 181 18000
181 182 18100
182 183 18200
183 184 18300
184 185 18400
185 186 18500
186 187 18600
187 188 18700
188 189 18800
189 190 18900
190 191 19000
191 192 19100
192 193 19200
193 194 19300
194 195 19400
195 196 19500
196 197 19600
197 198 19700
198 199 19800
199 200 19900
200 201 20000
201 202 20100
202 203 20200
203 204 20300
204 205 20400
205 206 20500
206 207 20600
207 208 20700
208 209 20800
209 210 20900
210 211 21000
211 212 21100
212 213 21200
213 214 21300
214 215 21400
215 216 21500
216 217 21600
217 218 21700
218 219 21800
219 220 21900
220 221 22000
221 222 22100
222 223 22200
223 224 22300
224 225 22400
225 226 22500
226 227 22600
227 228 22700
228 229 22800
229 230 22900
230 231 23000
231 232 23100
232 233 23200
233 234 23300
234 235 23400
235 236 23500
236 237 23600
237 238 23700
238 239 23800
239 240 23900
240 241 24000
241 242 24100
242 243 24200
243 244 24300
244 245 24400
245 246 24500
246 247 24600
247 248 24700
248 249 24800
249 250 24900
250 251 25000
251 252 25100
252 253 25200
253 254 25300
254 255 25400
255 256 25500
256 257 25600
257 258 25700
258 259 25800
259 260 25900
260 261 26000
261 262 26100
262 263 26200
263 264 26300
264 265 26400
265 266 26500
266 267 26600
267 268 26700
268 269 26800
269 270 26900
270 271 27000
271 272 27100
272 273 27200
273 274 27300
274 275 27400
275 276 27500
276 277 27600
277 278 27700
278 279 27800
279 280 27900
280 281 28000
281 282 28100
282 283 28200
283 284 28300
284 285 28400
285 286 28500
286 287 28600
287 288 28700
288 289 28800
289 290 28900
290 291 29000
291 292 29100
292 293 29200
293 294 29300
294 295 29400
295 296 29500
296 297 29600
297 298 29700
298 299 29800
299 300 29900
300 301 30000
301 302 30100
302 303 30200
303 304 30300
304 305 30400
305 306 30500
306 307 30600
307 308 30700
308 309 30800
309 310 30900
310 311 31000
311 312 31100
312 313 31200
313 314 31300
314 315 31400
315 316 31500
316 317 31600
317 318 31700
318 319 31800
319 320 31900
320 321 32000
321 322 32100
322 323 32200
323 324 32300
324 325 32400
325 326 32500
326 327 32600
327 328 32700
328 329 32800
329 330 32900
330 331 33000
331 332 33100
332 333 33200
333 334 33300
334 335 33400
335 336 33500
336 337 33600
337 338 33700
338 339 33800
339 340 33900
340 341 34000
341 342 34100
342 343 34200
343 344 34300
344 345 34400
345 346 34500
346 347 34600
347 348 34700
348 349 34800
349 350 34900
350 351 35000
351 352 35100
352 353 35200
353 354 35300
354 355 35400
355 356 35500
356 357 35600
357 358 35700
358 359 35800
359 360 35900
360 361 36000
361 362 36100
362 363 36200
363 364 36300
364 365 36400
365 366 36500
366 367 36600
367 368 36700
368 369 36800
369 370 36900
370 371 37000
371 372 37100
372 373 37200
373 374 37300
374 375 37400
375 376 37500
376 377 37600
